removed_from,removed_gene,outcome,beta,se,ci_low,ci_high,p,n,patients
ox,ACAA2,Hypoxia,0.6482851058478736,0.09936329633808721,0.453536623640042,0.8430335880557052,6.827787999513292e-11,136,20
ox,ACADM,Inflamm,0.36241378372784916,0.11895813366654649,0.12926012607331636,0.5955674413823819,0.0023147179665795265,136,20
ox,ACADM,Hypoxia,0.6331095459542299,0.10462573314453286,0.42804687713484685,0.8381722147736128,1.437852434205447e-09,136,20
ox,ACADSB,Inflamm,0.3710691272887523,0.11700038671306236,0.14175258315389141,0.6003856714236132,0.0015164315428952094,136,20
ox,ACADSB,Hypoxia,0.6443293894579578,0.10065488827381762,0.44704943357337223,0.8416093453425434,1.5398681816934203e-10,136,20
ox,ACADVL,Inflamm,0.37482263143916006,0.11393870141743136,0.1515068802157318,0.5981383826625883,0.001002989897634917,136,20
ox,ACADVL,Hypoxia,0.6505166193525176,0.09774909096586432,0.45893192153789397,0.8421013171671412,2.8337062760602173e-11,136,20
ox,ACAT1,Inflamm,0.3630058304905298,0.11970576911025775,0.12838683429275732,0.5976248266883023,0.002425499489450328,136,20
ox,ACAT1,Hypoxia,0.6368679309054286,0.10364813089308327,0.43372132729009205,0.8400145345207651,8.020608567388525e-10,136,20
ox,ACO2,Inflamm,0.36830835341776813,0.11645414482168183,0.14006242371686012,0.5965542831186761,0.0015631871914930512,136,20
ox,ACO2,Hypoxia,0.638956848962811,0.1015221246066699,0.4399771410997504,0.8379365568258716,3.098478750303448e-10,136,20
ox,AFG3L2,Inflamm,0.3705848597969219,0.1140880269486716,0.14697643591029047,0.5941932836835533,0.0011612282812003903,136,20
ox,AFG3L2,Hypoxia,0.6458248922780162,0.09952504036777103,0.45075939759729,0.8408903869587424,8.636818810314137e-11,136,20
ox,AIFM1,Inflamm,0.3649308092199611,0.11595619113538858,0.13766085081015683,0.5922007676297654,0.001648738487186073,136,20
ox,AIFM1,Hypoxia,0.6348520002846368,0.09976464447819325,0.4393168901769353,0.8303871103923384,1.9721144718344317e-10,136,20
ox,ALAS1,Inflamm,0.3809938392255824,0.11198886365016043,0.16149969980170112,0.6004879786494637,0.000668777551362006,136,20
ox,ALAS1,Hypoxia,0.6575059990101613,0.0968519880607795,0.46767959057993014,0.8473324074403924,1.1309253212792112e-11,136,20
